frame,doa
1749,[273.]
1750,[208.]
1751,[201.]
1752,[203.]
1753,[202.]
1754,[273.]
1755,[204.]
1756,[212.]
1757,[65.]
1758,[64.]
1759,[201.]
1760,[67.]
1761,[69.]
1762,[204.]
1763,[205.]
1764,[79.]
1765,[70.]
1766,[71.]
1767,[71.]
1768,[74.]
1769,[73.]
1770,[69.]
1771,[68.]
1772,[70.]
1773,[68.]
1774,[73.]
1775,[73.]
1776,[71.]
1777,[74.]
1778,[71.]
1779,[73.]
1780,[76.]
1781,[71.]
1782,[70.]
1783,[70.]
1784,[64.]
1785,[68.]
1786,[69.]
1787,[69.]
1788,[69.]
1789,[66.]
1790,[77.]
1791,[73.]
1792,[75.]
1793,[77.]
1794,[77.]
1795,[81.]
1796,[271.]
1797,[81.]
1798,[78.]
1799,[80.]
1800,[76.]
1801,[76.]
1802,[82.]
1803,[79.]
1804,[78.]
1805,[79.]
1806,[85.]
1807,[89.]
1808,[82.]
1809,[81.]
1810,[78.]
1811,[77.]
1812,[78.]
1813,[73.]
1814,[74.]
1815,[71.]
1816,[70.]
1817,[265.]
1818,[245.]
1819,[73.]
1820,[74.]
1821,[75.]
1822,[75.]
1823,[71.]
1824,[67.]
1825,[272.]
1826,[72.]
1827,[74.]
1828,[74.]
1829,[75.]
1830,[75.]
1831,[76.]
1832,[76.]
1833,[75.]
1834,[76.]
1835,[75.]
1836,[73.]
1837,[76.]
1838,[74.]
1839,[76.]
1840,[265.]
1841,[74.]
1842,[270.]
1843,[80.]
1844,[72.]
1845,[71.]
1846,[71.]
1847,[73.]
1848,[73.]
1849,[75.]
1850,[73.]
1851,[68.]
1852,[68.]
1853,[72.]
1854,[70.]
1855,[265.]
1856,[261.]
1857,[68.]
1858,[263.]
1859,[264.]
1860,[72.]
1861,[72.]
1862,[68.]
1863,[70.]
1864,[71.]
1865,[72.]
1866,[70.]
1867,[74.]
1868,[70.]
1869,[74.]
1870,[74.]
